jpg_filename,TCC
74c59e4b-6039-4310-bdd8-269da54d16cc.jpg,0
c1fd8fc6-d0a3-404b-b533-ea62b9a1b559.jpg,8
fa876324-8711-4713-801b-097d626c9cf3.jpg,1
404863be-8c7b-4aba-9a11-70e61099068e.jpg,8
fabbec27-45fe-435a-b3b7-717a6495bd56.jpg,7
c3118f58-0396-4521-aa66-131d73182b0b.jpg,0
cb918658-0e42-4df9-a2ca-d9779169a700.jpg,8
f4ea5adc-819b-4cbc-81f3-af24de8b457c.jpg,1
2a271026-72db-4fa6-9457-51ee47a51340.jpg,8
f898b8f1-bb64-4f5c-9277-f0a2d2b0b666.jpg,6
1db7c21a-a0e7-48b1-8f9d-ab2e5124064d.jpg,8
35d6ff42-1610-4723-93fa-6cdf13dc582c.jpg,0
8fe2d859-38ab-4d01-a4b9-ffe413dff886.jpg,4
da4e6e82-f5e9-4065-9c4e-3080fb9c9f06.jpg,0
292cd8a6-9561-4174-b63a-fc8446a37e23.jpg,1
6222015c-0095-438b-bf1f-3b90c6b941f8.jpg,7
91cc5586-5b32-47a7-8dec-673b3600b91f.jpg,8
df759423-3aa5-4b91-bedf-08b2569d40dd.jpg,5
e2201ee1-9037-4f82-8603-e0379158ab1e.jpg,8
70b7bf82-e6b6-48cd-8ce1-51cc4db4b914.jpg,8
1bb29d7e-2aa4-4420-803a-e5b70e3681c4.jpg,0
c0219986-291d-4780-81f3-b5e1146d7f65.jpg,1
f7a127f4-aed9-4187-9bdb-97b6cbcb9103.jpg,2
8b2453de-e504-4df9-bde6-94902bc7df51.jpg,4
10ad4340-6b2b-4c1f-9101-efc99afcc0c1.jpg,7
d8dbf24d-56d1-4296-bfcc-fd4c5ad7bf29.jpg,1
dae73d05-7750-4512-b610-97d24e793a2f.jpg,5
e51c4687-c2f0-4b27-a543-cd9a4067cba5.jpg,2
a5a732e3-ce70-4d4e-9172-74fb3ed2514c.jpg,1
9619757c-579a-47a7-a949-90979eb20ca5.jpg,1
0a1fb2f9-4593-4675-b72f-f7cbbcdcaddd.jpg,2
af72b946-ac9c-444e-bcab-40195a3116f1.jpg,4
11ba6b0a-f37a-4365-86d5-650fce497c2e.jpg,8
96d2fece-7941-4d11-8c5f-9ef852ded4eb.jpg,6
4f59cf82-83a0-495f-8c96-e2c97a301caa.jpg,0
905ce3be-3230-4204-9942-ef00f13a3def.jpg,1
909984d7-5245-4d4f-9a81-aed545252c6f.jpg,0
57372244-a148-4931-ab77-b92ac8de99dc.jpg,7
829e4066-8e1e-43fc-b3ec-2891e43d1f83.jpg,7
9006700d-cdc6-4c29-a2e2-477529868721.jpg,2
2e88dbf0-98b8-4583-be61-d4a87c8d6586.jpg,0
481022b5-9966-4b43-8734-f1bb5b7b0310.jpg,3
4200df00-12ae-42d7-86b6-72cde6602cf7.jpg,0
4747ae0b-76a6-4dbe-8747-e98b28c8adf1.jpg,7
631543bb-591a-45b6-aad1-5112eae242de.jpg,6
10ce333a-3c1c-4503-a2c8-b036d111e5c8.jpg,0
f39c97c6-bcc3-4317-98d9-a154cb090224.jpg,0
8e49b8a2-f89d-4f5c-ae26-fe8d86dcb11b.jpg,8
c18ca0a2-d0c2-4d69-b4ab-40cd8251ea20.jpg,0
7d392b59-bf93-44d6-8314-c9611da71b20.jpg,5
5dedc2a8-f05b-4f67-9d55-34d2ce7d2e30.jpg,5
fb4fe6f1-ced4-4136-be35-e6ffa155d591.jpg,7
7fd4bcab-7ad5-401c-b987-0477dac8c232.jpg,8
0a40f16a-8af0-4f60-bbec-d1de2c25eeb7.jpg,0
f3fcc0de-da97-4a1a-ac69-1f6ff93937b3.jpg,8
0c30da63-7561-4dfa-a67e-e0fd3269437d.jpg,6
e5c8bd58-04f8-4e6c-a1af-bc6409e49854.jpg,6
aa4c10e8-9963-4ca5-ad99-cc42ea52f136.jpg,8
73d025c3-b807-4992-8311-df8939440494.jpg,0
35502e1e-1d2a-4165-8a79-f4f3bf355f10.jpg,3
1ec8dde3-fd1d-41da-9949-9f073e9b7650.jpg,8
eec8cb4c-6602-4940-bbff-8ec9fa981e62.jpg,3
4b25a1ff-9e7c-46dc-b7ea-cf5c98af2e43.jpg,2
3b16470b-34e6-4d63-834e-736056542fb6.jpg,8
098cc190-2013-48cb-9263-7e699caf40cb.jpg,6
c130f838-11a8-4bc2-a709-93b477bd53d2.jpg,8
7ec0aeaf-3c3d-4f2f-a810-f786ff347f13.jpg,0
f254191b-e770-4a2d-a9ea-78a9b1c6879f.jpg,0
60a041c1-aa09-41ca-aa0c-4e54f4460788.jpg,0
49519d2d-5370-41d5-a7b3-f75d0a9618b3.jpg,2
8ed87940-6ac4-44f3-b59c-ea6b45ab434e.jpg,2
1f21697b-a659-4267-be43-2d3818583c8a.jpg,8
a3d173d1-07ca-422a-bffa-4ac63c1467bd.jpg,1
ca802bae-4ea6-4ddd-8d5b-8bc061e0981d.jpg,0
2e37edb1-e8ac-41e8-b471-c9663e5056e6.jpg,0
b0e759b5-0d52-417d-abc1-b7d83c7957ad.jpg,4
1356008f-b38f-4833-b294-f9f49d4b1649.jpg,8
b8f87c75-8aa8-414d-904e-c277c12232d4.jpg,8
13b39547-6af6-492b-8b76-89a169016eec.jpg,2
78045c24-40fd-4ef9-8b49-0489d2270431.jpg,7
2a7b7225-eaa6-41b7-ac66-b204aa2869d9.jpg,5
fd8270fc-f52b-48cc-916e-833537e7107f.jpg,6
263cef6b-342a-41ff-a6d4-4065f70f750e.jpg,7
b5884870-4cf4-4480-afbd-289ee6e3f02b.jpg,0
272981e1-f539-44cd-8081-18807f79ffab.jpg,6
ac7c49b4-8db4-4a23-bb7f-d483aef2e1de.jpg,0
e70d3112-eb86-429b-9a51-8da23764fe43.jpg,8
cf17a5a5-8c7d-41b7-ae7e-eaaa23413e0e.jpg,1
bd2b024c-693e-432f-9a4d-c608174c3cb4.jpg,5
3d7c3e3a-d42e-445f-9b6f-beb055ac54bb.jpg,8
9a93b51c-aced-47d7-8f7f-728b0b0d7642.jpg,8
de141ce4-8f4f-45cf-9860-04f1d3695b2a.jpg,8
f28d9b9a-217b-493e-b809-1c207aa4b7ea.jpg,5
c426aa3f-f64e-43e8-bd51-4a64a9fd6de6.jpg,4
653f328f-72ae-41cd-80da-a10ec2e4137d.jpg,0
86325b7a-ccbf-4604-b5bb-cb1f46838b68.jpg,0
4e0c64ac-0398-4885-8121-eeb28fe2227a.jpg,3
0f11f11a-fe62-481c-922a-2a1a3fe6c9c0.jpg,3
33141bc0-5f3e-4faf-9df2-fe802cfaff1f.jpg,7
4a25d55e-52d6-4eaa-84c7-9e9bb9a7d58a.jpg,8
ae686f32-8383-4e93-872c-88440e9e9efd.jpg,0
b21b2946-114b-48d5-b5a1-d0816aa0d478.jpg,6
a5312a75-b597-4db9-b65f-fb49ad63555f.jpg,8
8a0a8f63-5772-40c3-8834-863420b7d851.jpg,0
c885df5a-ff89-4380-b860-abd12d4c4837.jpg,7
637c0ae9-6795-4267-a8eb-4d2963a3f448.jpg,5
802c506f-0311-4cea-8168-cfeff9d9f977.jpg,5
c05902b8-891d-46c6-b7c5-e66695681a35.jpg,8
8b9f0e02-1a60-4a6b-90d6-e5066337a8c7.jpg,6
2ce6ca33-bb60-4689-99c0-20ec138506d8.jpg,8
38cac731-9a82-4e81-9b8c-a0f268a9230a.jpg,0
c180ecf2-8108-4a8a-9d0e-4c19ab995f3f.jpg,8
ab8365a6-1dc3-4e91-b805-228c63ad17f7.jpg,1
ff12845e-109a-4a21-985b-ceefacacc552.jpg,4
00d0233d-d8f0-4ff5-b50f-e189d90d472b.jpg,6
d5b07455-ce9c-499f-885e-02a7cbba57da.jpg,8
8484f977-66fe-4cd0-aabe-5dffa1fa5b31.jpg,1
53c87155-82e1-4a15-9115-9cb6d12fad26.jpg,7
436d014b-a201-43a4-8e8d-e5b5d4705386.jpg,1
e0c0543a-a750-41bb-91a4-c89797ef8fc7.jpg,0
95c37ea8-4d2f-49d3-9b64-306ceaf0bd72.jpg,2
4b84de1c-9ed3-48d7-b029-ce2293f9bbca.jpg,8
e04a9ccf-c01d-4145-aeab-6a24d3deaf57.jpg,6
eedc9f75-a6a0-4490-b27b-2db33f67be45.jpg,4
6e15bd55-9d5f-48e5-8e66-e2528edf5d99.jpg,0
5f85e306-1ec5-4f63-aef5-e460624fd594.jpg,3
c292facf-f1df-4246-8833-c5694c863fff.jpg,1
df18b963-6495-4ad9-ab8d-a148c07d20ec.jpg,7
23158280-b537-45f4-95b1-1fd605814ba3.jpg,7
fa135d75-2135-4e70-9c85-e042729cfa21.jpg,6
94915ffa-33dc-4142-b050-e280d49f8e9f.jpg,4
a7e2c585-a739-44cf-921d-1480d98c4640.jpg,3
6eaf4b36-cdca-4b34-b8f4-f546435b5f09.jpg,8
630caa80-a4ad-4874-92de-f868e308ef17.jpg,5
af0721e5-065a-4858-bd87-40789623647b.jpg,1
e3ef6243-7560-47d5-ad1e-d3883e7091d4.jpg,1
097e5721-3c85-4d88-a95d-e18c4fe156db.jpg,1
ce9f73f5-7512-4d30-ada9-2431150a248f.jpg,5
6081f508-e6bd-4919-8b4d-83b22e8f132e.jpg,0
4245ee0c-2f84-4e90-a581-bbf4a2b4c603.jpg,7
2e62af59-278e-4aae-a316-19bc495e8a33.jpg,7
49d41ce1-d76b-4175-8c98-6c6c0d83c2c6.jpg,3
2301752d-848a-407c-a1b6-ee9a3981414a.jpg,1
d7c0211c-7b30-478c-9fd8-145e41924809.jpg,4
0890c74d-7734-4ea3-b08a-cbd444308d4a.jpg,3
b15fbca5-66d1-43f2-9254-b4a98a80800d.jpg,3
280e89c9-7592-4776-8d97-d1ed6cc319fc.jpg,8
13697197-d4cb-4cc1-a48a-ffed2605d014.jpg,8
fa38109c-0e5c-4c4c-bfb4-10353cfc7e0e.jpg,2
0df6e43a-383f-4ef5-9041-511a2664ec83.jpg,1
